object_name,bibcode,year,title
J1888.16CL:[DSP99] 007,2002ApJS..142..153S,2002,Optical and Near-Infrared Photometry of Distant Galaxy Clusters
J1888.16CL:[DSP99] 007,1999ApJS..122...51D,1999,A Spectroscopic Catalog of 10 Distant Rich Clusters of Galaxies
J1888.16CL:[DSP99] 004,2016MNRAS.463..413W,2016,The XMM Cluster Survey: evolution of the velocity dispersion-temperature relation over half a Hubble time
J1888.16CL:[DSP99] 004,2002ApJS..142..153S,2002,Optical and Near-Infrared Photometry of Distant Galaxy Clusters
J1888.16CL:[DSP99] 004,1999ApJS..122...51D,1999,A Spectroscopic Catalog of 10 Distant Rich Clusters of Galaxies
J1888.16CL:[SED2002] 024,2005MNRAS.361..109B,2005,The Tully-Fisher relation of distant cluster galaxies
J1888.16CL:[SED2002] 024,2002ApJS..142..153S,2002,Optical and Near-Infrared Photometry of Distant Galaxy Clusters
J1888.16CL:[SED2002] 161,2016MNRAS.463..413W,2016,The XMM Cluster Survey: evolution of the velocity dispersion-temperature relation over half a Hubble time
J1888.16CL:[SED2002] 161,2002ApJS..142..153S,2002,Optical and Near-Infrared Photometry of Distant Galaxy Clusters
J1888.16CL:[SED2002] 144,2002ApJS..142..153S,2002,Optical and Near-Infrared Photometry of Distant Galaxy Clusters
J1888.16CL:[SED2002] 192,2002ApJS..142..153S,2002,Optical and Near-Infrared Photometry of Distant Galaxy Clusters
KTS 57,2018A&A...618A..81T,2018,
KTS 57,2013ApJ...768..102K,2013,Hubble Space Telescope ACS Imaging of the GOALS Sample: Quantitative Structural Properties of Nearby Luminous Infrared Galaxies with L_IR_ &gt;
KTS 57,2010ApJ...715..572H,2010,The Great Observatories All-sky LIRG Survey: Comparison of Ultraviolet and Far-infrared Properties
KTS 57,2000ARep...44..501K,2000,Southern Isolated Galaxy Triplets
Leo I:[MND2015] 109,2015MNRAS.451.2735M,2015,A XMM-Newton observation of a sample of four close dwarf spheroidal galaxies
