filename,object_name,bibcode,year,title
4001162942015,GALEXASC J095804.10+023206.2,2008PrivC.C.......C,2008,"COSMOS Data referenced in 2007ApJS..172...99C sent to NED by Peter Capak, 2008-0 3-20"
4001162942015,GALEXASC J095804.10+023206.2,2015MNRAS.447.1014D,2015,Galaxy And Mass Assembly (GAMA): curation and reanalysis of 16.6k redshifts in the G10/COSMOS region
4001162973125,SC4K NB392-000009,2017MNRAS.466.1242S,2017,The CALYMHA survey: Ly-{alpha} luminosity function and global escape fraction of Ly-{alpha} photons at z = 2.23
4001162973125,SC4K NB392-000009,2018MNRAS.476.4725S,2018,Slicing COSMOS with SC4K: the evolution of typical Ly {alpha} emitters and the Ly {alpha} escape fraction from z ~ 2 to 6
4001163886850,SDSS J173951.95+690718.6,2023ApJ...948...40O,2023,
4001163886962,SSTSL2 J174005.39+690401.8,2023ApJ...948...40O,2023,
4001163887060,WISEA J173941.61+690419.6,2017MNRAS.472.4259D,2017,"AKARI/IRC source catalogues and source counts for the IRAC Dark Field, ELAIS North and the AKARI Deep Field South"
4001163887516,WISEA J174004.32+690546.3,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
4001163887516,WISEA J174004.32+690546.3,2017MNRAS.472.4259D,2017,"AKARI/IRC source catalogues and source counts for the IRAC Dark Field, ELAIS North and the AKARI Deep Field South"
4001163887582,SDSS J173952.79+690558.9,2016ApJS..224...40W,2016,CHANDRA ACIS Survey of X-Ray Point Sources: The Source Catalog
4001163948689,[OMS2023] 4001163948875,2023ApJ...948...40O,2023,
4001164487836,RCS 01020901341,2005ApJS..158..161H,2005,A Photometric Redshift Galaxy Catalog from the Red-Sequence Cluster Survey
4001164488272,WISEA J022908.20+003056.6,2005ApJS..158..161H,2005,A Photometric Redshift Galaxy Catalog from the Red-Sequence Cluster Survey
4001164488812,WISEA J022912.16+003114.8,2005ApJS..158..161H,2005,A Photometric Redshift Galaxy Catalog from the Red-Sequence Cluster Survey
4001164490422,WISEA J022902.43+003140.3,2005ApJS..158..161H,2005,A Photometric Redshift Galaxy Catalog from the Red-Sequence Cluster Survey
4001164491339,RCS 01020901728,2005ApJS..158..161H,2005,A Photometric Redshift Galaxy Catalog from the Red-Sequence Cluster Survey
4001164491407,RCS 01020901730,2005ApJS..158..161H,2005,A Photometric Redshift Galaxy Catalog from the Red-Sequence Cluster Survey
4001164492382,DEEP2 42025739,2004DEEP2.1...0000:,2004,The DEEP2 Redshift Survey Data Release 1 as obtained from http://deep.berkeley.edu/DR1/ on 2005.01.11
4001164492382,DEEP2 42025739,2004ApJ...617..765C,2004,"Evolution and Color Dependence of the Galaxy Angular Correlation Function: 350,000 Galaxies in 5 Square Degrees"
4001164492382,DEEP2 42025739,2005ApJS..158..161H,2005,A Photometric Redshift Galaxy Catalog from the Red-Sequence Cluster Survey
4001164492382,DEEP2 42025739,2007DEEP2.3...0000:,2007,The DEEP2 Redshift Survey Data Release 3 as obtained from http://deep.berkeley.edu/DR3/ on 2009.07.20
4001164492382,DEEP2 42025739,2007DEEP2.2...0000:,2007,The DEEP2 Redshift Survey Data Release 2 as obtained from http://deep.berkeley.edu/DR2/ on 2007.03.22
4001164492382,DEEP2 42025739,2012DEEP2.4...0000:,2012,The DEEP2 Redshift Survey Data Release 2 as obtained from http://deep.berkeley.edu/DR4/ on 2013.03.27
4001164492382,DEEP2 42025739,2013ApJS..204...21M,2013,Extended Photometry for the DEEP2 Galaxy Redshift Survey: A Testbed for Photometric Redshift Experiments
4001164494844,SDSS J022912.54+003317.9,2005ApJS..158..161H,2005,A Photometric Redshift Galaxy Catalog from the Red-Sequence Cluster Survey
4001164496013,WISEA J022909.57+003347.4,2005ApJS..158..161H,2005,A Photometric Redshift Galaxy Catalog from the Red-Sequence Cluster Survey
4001164496013,WISEA J022909.57+003347.4,2013MNRAS.435.3444P,2013,The ALHAMBRA survey: reliable morphological catalogue of 22 051 early- and late-type galaxies
4001168243675,WISEA J101458.08+493108.2,2023ApJ...948...40O,2023,
4001168243958,WISEA J101520.86+493202.8,2023ApJ...948...40O,2023,
